Trace;IPC;Total miss L1D;Total miss L1I;Total miss L2;Total miss LLC;Hit rate LLC;Tptal write LLC;
.perlbench-41B.champsimtrace.xz;0.833633;280430;189230;144875;29118;0.830153;56238;
.perlbench-50B.champsimtrace.xz;0.879531;27304;14416;17334;16773;0.121326;18554;
.bzip2-7B.champsimtrace.xz;1.25072;2389621;263;1203837;31315;0.980324;419677;
.bzip2-38B.champsimtrace.xz;1.07608;2386175;94;1239909;30523;0.982142;500581;
.bzip2-226B.champsimtrace.xz;1.05873;3386928;137;1854704;345;0.999854;501971;
.bzip2-277B.champsimtrace.xz;1.20147;1466831;9;930884;39717;0.967487;330649;
.gcc-16B.champsimtrace.xz;1.17369;9905814;11104;9905999;31216;0.998416;9830799;
.gcc-17B.champsimtrace.xz;0.478136;3240507;1492;2656693;562669;0.8251;1123994;
.gcc-48B.champsimtrace.xz;1.32523;1754281;2;49630;47589;0.267636;62956;
.bwaves-1963B.champsimtrace.xz;0.751046;4034416;0;3672795;3484614;0.0749422;3580273;
